XCoord,YCoord,AREA_NAME,BLOCK_CL,BLOCK_RW,SERIALNO,STATIONNO,BRANCH,KOUKU,CLASSNAME,SUBNAME,CLASSNAME2,TEAM,CO_01,CO_02,CO_03,CO_04,CO_05,CO_06,KION,SHITSUDO,HOTSPOT,VA_01,VA_02,VA_03,VA_04,VA_05,VA_01FLAG,VA_01FLAG2,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,COMMENT,CHECK,NAVISTAT,UDTDATE,UDTTIME,GPSNO,NAINO,ICSNO,GMNO,SLOPE,FOREST,FLAG,LAT,LNG
140.71209300,37.74748900,SS,R,012,SSR0127281820,SSR012025,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,その他,無, ,0,0,0,0.910000,0.000000,0.530000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,18:20:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.747489,140.712093
140.69257000,37.71266100,MD,AB,058,MDAB0587281836,MDAB058029,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,トタン,無, ,0,0,0,1.060000,0.000000,0.760000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,18:36:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.712661,140.692570
140.69234400,37.71267000,MD,AB,058,MDAB0587281845,MDAB058030,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,その他,無, ,0,0,0,1.050000,0.000000,0.780000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,18:45:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.712670,140.692344
140.69218100,37.71245000,MD,AB,058,MDAB0587281849,MDAB058031,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,トタン,無, ,0,0,0,1.180000,0.000000,0.850000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,18:49:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.712450,140.692181
140.69230100,37.71245200,MD,AB,058,MDAB0587281854,MDAB058032,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,その他,無, ,0,0,0,0.860000,0.000000,0.460000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,18:54:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.712452,140.692301
140.69242300,37.71271900,MD,AB,058,MDAB0587281857,MDAB058033,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,トタン,無, ,0,0,0,0.650000,0.000000,0.630000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,18:57:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.712719,140.692423
140.68944200,37.71847900,MD,Y,047,MDY0477281920,MDY047028,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,その他,無, ,0,0,0,1.180000,0.000000,0.670000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,19:20:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.718479,140.689442
140.68886400,37.71835400,MD,Y,048,MDY0477281934,MDY047029,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,トタン,無, ,0,0,0,0.900000,0.000000,0.560000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,19:34:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.718354,140.688864
140.68903800,37.71825800,MD,Y,048,MDY0487281936,MDY048021,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,トタン,小, ,0,0,0,0.980000,0.000000,0.580000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,19:36:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.718258,140.689038
140.68862900,37.71841000,MD,Y,047,MDY0477281943,MDY047030,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,その他,無, ,0,0,0,0.900000,0.000000,0.530000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,19:43:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.718410,140.688629
140.68895100,37.71823800,MD,Y,048,MDY0487281944,MDY048022,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,トタン,小, ,0,0,0,0.900000,0.000000,0.430000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,19:44:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.718238,140.688951
140.69030600,37.71838800,MD,Z,047,MDZ0477281955,MDZ047005,1, ,7_農地,13_該当無し,10_畑, ,晴れ,3_草地,乾いている, ,無, ,0,0,0,2.580000,2.500000,1.230000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,19:55:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.718388,140.690306
140.69000100,37.71820200,MD,Z,048,MDZ0487281956,MDZ048022,1, ,7_農地,13_該当無し,10_畑, ,晴れ,3_草地,乾いている, ,小, ,0,0,0,3.460000,2.760000,2.140000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,19:56:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.718202,140.690001
140.68851200,37.71832400,MD,X,048,MDX0487281959,MDX048006,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,その他,無, ,0,0,0,0.980000,0.000000,0.430000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,19:59:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.718324,140.688512
140.68851300,37.71824000,MD,X,048,MDX0487282005,MDX048007,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,トタン,無, ,0,0,0,1.950000,0.000000,0.920000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,20:05:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.718240,140.688513
140.68822700,37.71821300,MD,X,048,MDX0487282026,MDX048009,1, ,10_森林,13_該当無し,17_雑木林, ,晴れ,3_草地,乾いている, ,無, ,0,0,0,2.350000,1.840000,1.240000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,20:26:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.718213,140.688227
140.68781000,37.71807200,MD,X,048,MDX0487282029,MDX048010,1, ,10_森林,13_該当無し,17_雑木林, ,晴れ,3_草地,乾いている, ,無, ,0,0,0,2.120000,1.740000,0.950000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,20:29:00, ,NaI-026,ICS-065,GM-068,1_斜面の頂部,0,2,37.718072,140.687810
140.68875400,37.71813600,MD,Y,048,MDY0487291101,MDY048023,1, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,トタン,無, ,0,0,0,1.700000,0.000000,0.840000,0,0,0,0, , , , , , ,0,0,2014-07-29 00:00:00,11:01:00, ,NaI-026,ICS-065,GM-068,2_斜面,0,2,37.718136,140.688754
140.71209300,37.74748900,SS,R,012,SSR0127281820,SSR012025,2, ,1_住宅地等,1_屋根・屋上,1_建物, ,晴れ,20_その他,乾いている,その他,小, ,0,0,0,0.730000,0.000000,0.380000,0,0,0,0, , , , , , ,0,0,2014-07-30 00:00:00,11:35:00, ,NaI-015,ICS-021,GM-137,4_該当なし,0,2,37.747489,140.712093
140.78675581,37.65399110,KM,AQ,036,KMAQ036P2407221452,KMAQ036017,1, ,1_住宅地等,13_該当無し,5_未舗装面,P24,晴れ,3_草地,乾いている, , , ,0,0,0,4.270000,3.620000,2.940000,0,0,0,0, , , , , , ,0,0,2014-07-22 00:00:00,14:52:00, ,NAI-138,ICS-005,GM-044,2_斜面,1,2,37.653991,140.786756
140.69282007,37.62738037,HS,W,026,HSW026P1907230920,HSW026027,1, ,1_住宅地等,13_該当無し,5_未舗装面,P19,晴れ,3_草地,乾いている, , , ,0,0,0,4.210000,2.710000,1.790000,0,0,0,0, , , , , , ,0,0,2014-07-23 00:00:00,9:20:00, ,NAI-106,ICS-039,GM-221,4_該当なし,0,2,37.627380,140.692820
140.78849747,37.65260323,KM,AR,039,KMAR039P2407241435,KMAR039009,1, ,6_草地、芝地,13_該当無し,5_未舗装面,P24,晴れ,3_草地,乾いている, , , ,0,0,0,3.550000,3.620000,1.310000,0,0,0,0, , , , , , ,0,0,2014-07-24 00:00:00,14:35:00, ,NAI-138,ICS-005,GM-044,2_斜面,1,2,37.652603,140.788497
140.68337014,37.62416229,HS,O,032,HSO032P1607280936,HSO032003,1, ,10_森林,13_該当無し,17_雑木林,P16,晴れ,4_落葉,乾いている, , , ,0,0,0,4.660000,3.030000,1.780000,0,0,0,0, , , , , , ,0,0,2014-07-28 00:00:00,9:36:00, ,NAI-037,ICS-001,GM-124,2_斜面,0,2,37.624162,140.683370
140.70567231,37.63374013,KB,L,016,KBL016P2807251037,KBL016007,1, ,10_森林,13_該当無し,17_雑木林,P28,晴れ,3_草地,乾いている, , , ,0,0,0,3.060000,2.290000,2.300000,0,0,0,0, , , , , , ,0,0,2014-07-25 00:00:00,10:37:00, ,NAI-149,ICS-015,GM-108,4_該当なし,1,2,37.633740,140.705672
